Name	Length	Orientation	L_END	R_END	Cs	
ykfM_yafU'	9	Codirectional-	238737	238745	5.14	
yafU'_yafF'	3	Divergent	239103	239105	5.15	
yafF'_yafV	40	Convergent	239379	239418	5.16	
yafV_ivy	153	Divergent	240190	240342	5.17	
ivy_fadE	42	Convergent	240817	240858	5.19	
fadE_gmhA	239	Divergent	243304	243542	5.24	
gmhA_yafJ	205	Codirectional+	244122	244326	5.26	
yafJ_yafQ	866	Convergent	245095	245960	5.28	
yafQ_dinJ	2	Codirectional-	246240	246241	5.31	
dinJ_yafL	209	Divergent	246503	246711	5.31	
yafL_rayT	175	Codirectional+	247462	247636	5.33	
rayT_lfhA'	223	Convergent	248135	248357	5.35	
lfhA'_lafU'	1	Divergent	250071	250071	5.39	
lafU'_dinB	70	Codirectional+	250828	250897	5.40	
dinB_yafN	51	Codirectional+	251954	252004	5.43	
yafN_yafO	2	Codirectional+	252299	252300	5.44	
yafO_yafP	9	Codirectional+	252700	252708	5.44	
yafP_ykfJ'	317	Codirectional+	253162	253478	5.45	
ykfJ'_prfH'	16	Codirectional+	253686	253701	5.47	
prfH'_pepD	56	Convergent	254203	254258	5.48	
pepD_gpt	260	Divergent	255717	255976	5.51	
gpt_frsA	91	Codirectional+	256436	256526	5.52	
frsA_crl'	57	Codirectional+	257772	257828	5.55	
crl'_insB9	23	Convergent	257900	257922	5.56	
insB9_crl'	249	Divergent	258427	258675	5.57	
crl'_phoE	38	Convergent	259007	259044	5.58	
phoE_proB	287	Divergent	260101	260387	5.60	
proB_proA	11	Codirectional+	261492	261502	5.63	
proA_thrW	114	Codirectional+	262757	262870	5.66	
thrW_ykfN'	203	Convergent	262947	263149	5.66	
ykfN'_ykfI	115	Codirectional-	263213	263327	5.67	
ykfI_yafW	20	Codirectional-	263670	263689	5.68	
yafW_ykfH	18	Codirectional-	264008	264025	5.69	
ykfH_ykfG	8	Codirectional-	264248	264255	5.69	
ykfG_yafX	15	Codirectional-	264733	264747	5.70	
yafX_ykfF	97	Codirectional-	265207	265303	5.71	
ykfF_ykfB	76	Codirectional-	265544	265619	5.72	
ykfB_yafY	22	Codirectional-	266088	266109	5.73	
yafY_ykfK'	222	Codirectional-	266554	266775	5.74	
ykfK'_yafZ	216	Codirectional-	266968	267183	5.75	
yafZ_ykfA	91	Codirectional-	268006	268096	5.77	
ykfA_perR	328	Codirectional-	268961	269288	5.79	
perR_insN'	95	Divergent	270183	270277	5.82	
insN'_insI1	67	Codirectional+	270536	270602	5.83	
insI1_insN'	9	Codirectional+	271755	271763	5.85	
insN'_eyeA	390	Codirectional+	272190	272579	5.86	
eyeA_ykfC'	192	Codirectional+	272655	272846	5.87	
ykfC'_insH1	146	Convergent	273955	274100	5.90	
insH1_mmuP	207	Divergent	275118	275324	5.93	
mmuP_afuC	1027	Convergent	276729	277755	5.96	
afuC_afuB'	11	Codirectional-	278803	278813	6.01	
afuB'_insB1	16	Codirectional-	279162	279177	6.01	
insB1_insI1	249	Divergent	279682	279930	6.03	
insI1_insX'	9	Convergent	280105	280113	6.03	
insX'_yagB'	64	Codirectional-	280363	280426	6.04	
yagB'_yagA	93	Codirectional-	280736	280828	6.05	
yagA_yagE	294	Divergent	281984	282277	6.08	
yagE_yagF	14	Codirectional+	283187	283200	6.10	
yagF_yagG	226	Codirectional+	285169	285394	6.14	
yagG_yagH	11	Codirectional+	286778	286788	6.18	
yagH_yagI	4	Convergent	288400	288403	6.21	
yagI_argF	138	Codirectional-	289163	289300	6.23	
argF_ykgS'	123	Divergent	290306	290428	6.25	
ykgS'_insB1	15	Convergent	290634	290648	6.26	
insB1_yagJ'	251	Divergent	291153	291403	6.27	
yagJ'_yagK	90	Convergent	292232	292321	6.30	
yagK_yagL	271	Codirectional-	292949	293219	6.31	
yagL_yagM	26	Codirectional-	293919	293944	6.33	
yagM_yagN	339	Codirectional-	294800	295138	6.35	
yagN_intF	116	Codirectional-	295580	295695	6.37	
intF_ptwF'	109	Divergent	297097	297205	6.40	
ptwF'_yagP'	126	Convergent	297255	297380	6.40	
yagP'_paoD	50	Codirectional-	297720	297769	6.41	
paoD_paoC	9	Codirectional-	298727	298735	6.44	
paoC_paoA	949	Codirectional-	300935	301883	6.48	
paoA_yagU	417	Divergent	302574	302990	6.52	
yagU_ykgJ	247	Convergent	303606	303852	6.54	
ykgJ_ecpE	312	Codirectional-	304183	304494	6.55	
ecpE_ecpC	1601	Codirectional-	305206	306806	6.58	
ecpC_ecpB	25	Codirectional-	309333	309357	6.66	
ecpB_ecpA	57	Codirectional-	310027	310083	6.68	
ecpA_ecpR	74	Codirectional-	310672	310745	6.69	
ecpR_ykgL	775	Divergent	311337	312111	6.71	
ykgL_ykgO	34	Convergent	312340	312373	6.73	
ykgO_ykgR	626	Codirectional-	312515	313140	6.73	
ykgR_ykgP'	473	Codirectional-	313243	313715	6.75	
ykgP'_eaeH'	551	Divergent	313806	314356	6.76	
eaeH'_insE1	62	Codirectional+	315229	315290	6.79	
insE1_ykgA'	895	Convergent	315591	316485	6.80	
ykgA'_ykgQ'	269	Divergent	317170	317438	6.83	
ykgQ'_rclC	158	Convergent	317568	317725	6.84	
rclC_rclB	11	Codirectional-	318320	318330	6.86	
rclB_rclA	108	Codirectional-	318568	318675	6.86	
rclA_rclR	225	Divergent	320002	320226	6.89	
rclR_ykgE	526	Codirectional+	321082	321607	6.92	
ykgE_ykgF	10	Codirectional+	322328	322337	6.94	
ykgF_ykgH	930	Convergent	323766	324695	6.98	
ykgH_betA	212	Codirectional-	325365	325576	7.01	
betA_betB	13	Codirectional-	327248	327260	7.05	
betB_betI	13	Codirectional-	328734	328746	7.08	
betI_betT	128	Divergent	329335	329462	7.10	
betT_yahA	874	Codirectional+	331497	332370	7.14	
yahA_yahB	41	Convergent	333460	333500	7.18	
yahB_yahC	91	Codirectional-	334434	334524	7.21	
yahC_yahD	257	Divergent	335023	335279	7.22	
yahD_yahE	39	Codirectional+	335886	335924	7.24	
yahE_yahG	1536	Codirectional+	336789	338324	7.26	
yahG_yahI	421	Codirectional+	339744	340164	7.32	
yahI_yahJ	9	Codirectional+	341116	341124	7.35	
yahJ_yahK	376	Codirectional+	342508	342883	7.38	
yahK_yahL	242	Codirectional+	343934	344175	7.41	
yahL_yahM	412	Codirectional+	344992	345403	7.43	
yahM_yahN	16	Convergent	345650	345665	7.45	
yahN_yahO	146	Divergent	346338	346483	7.46	
yahO_prpR	97	Convergent	346760	346856	7.47	
prpR_prpB	238	Divergent	348444	348681	7.51	
prpB_prpC	439	Codirectional+	349573	350011	7.53	
prpC_prpD	33	Codirectional+	351182	351214	7.57	
prpD_prpE	39	Codirectional+	352667	352705	7.60	
prpE_codB	329	Codirectional+	354593	354921	7.64	
codB_cynR	1609	Convergent	356182	357790	7.67	
cynR_cynT	108	Divergent	358691	358798	7.73	
cynT_cynS	30	Codirectional+	359459	359488	7.74	
cynS_cynX	32	Codirectional+	359960	359991	7.75	
cynX_lacA	102	Convergent	361147	361248	7.78	
lacA_lacY	65	Codirectional-	361861	361925	7.80	
lacY_lacZ	51	Codirectional-	363180	363230	7.82	
lacZ_lacI	122	Codirectional-	366306	366427	7.89	
lacI_mhpR	76	Codirectional-	367511	367586	7.92	
mhpR_mhpA	190	Divergent	368421	368610	7.94	
mhpA_mhpB	1	Codirectional+	370276	370276	7.98	
mhpB_mhpC	17	Codirectional+	371222	371238	8.00	
mhpC_mhpD	9	Codirectional+	372106	372114	8.02	
mhpD_mhpE	943	Codirectional+	372925	373867	8.03	
mhpE_mhpT	577	Codirectional+	374882	375458	8.08	
mhpT_yaiL	101	Codirectional+	376671	376771	8.12	
yaiL_frmB	223	Convergent	377312	377534	8.13	
frmB_frmA	93	Codirectional-	378369	378461	8.15	
frmA_frmR	34	Codirectional-	379572	379605	8.18	
frmR_yaiO	187	Codirectional-	379882	380068	8.18	
yaiO_yaiX'	1	Codirectional-	380843	380843	8.20	
yaiX'_insC1	90	Divergent	381261	381350	8.21	
insC1_yaiX'	874	Convergent	381717	382590	8.22	
yaiX'_yaiS	1186	Codirectional-	382873	384058	8.25	
yaiS_tauA	615	Divergent	384617	385231	8.29	
tauA_tauB	12	Codirectional+	386195	386206	8.32	
tauB_tauD	820	Codirectional+	386975	387794	8.34	
tauD_hemB	106	Convergent	388647	388752	8.37	
hemB_yaiT'	523	Divergent	389728	390250	8.40	
yaiT'_insF1	30	Convergent	391709	391738	8.44	
insF1_yaiT'	364	Divergent	392606	392969	8.46	
yaiT'_yaiV	87	Codirectional+	394419	394505	8.50	
yaiV_ampH	0	Convergent	NULL	NULL	8.51	
ampH_sbmA	351	Divergent	396288	396638	8.54	
sbmA_yaiW	12	Codirectional+	397860	397871	8.57	
yaiW_yaiY	58	Convergent	398967	399024	8.60	
yaiY_yaiZ	259	Divergent	399334	399592	8.60	
yaiZ_ddlA	23	Convergent	399806	399828	8.61	
ddlA_iraP	462	Divergent	400924	401385	8.64	
iraP_phoA	100	Codirectional+	401647	401746	8.65	
phoA_psiF	118	Codirectional+	403163	403280	8.69	
psiF_yaiC	101	Codirectional+	403602	403702	8.70	
yaiC_proC	16	Convergent	404819	404834	8.72	
proC_yaiI	119	Divergent	405645	405763	8.74	
yaiI_aroL	182	Codirectional+	406223	406404	8.75	
aroL_yaiA	49	Codirectional+	406930	406978	8.77	
yaiA_aroM	257	Codirectional+	407171	407427	8.77	
aroM_yaiE	71	Codirectional+	408106	408176	8.79	
yaiE_ykiA'	147	Codirectional+	408462	408608	8.80	
ykiA'_rdgC	157	Convergent	408951	409107	8.81	
rdgC_mak	124	Divergent	410020	410143	8.83	
mak_araJ	244	Convergent	411053	411296	8.86	
araJ_sbcC	125	Codirectional-	412482	412606	8.89	
sbcC_phoB	1388	Divergent	415754	417141	8.96	
phoB_phoR	57	Codirectional+	417832	417888	9.00	
phoR_brnQ	406	Codirectional+	419185	419590	9.03	
brnQ_proY	75	Codirectional+	420911	420985	9.07	
proY_malZ	158	Codirectional+	422360	422517	9.10	
malZ_acpH	4	Convergent	424333	424336	9.14	
acpH_queA	92	Divergent	424919	425010	9.15	
queA_tgt	55	Codirectional+	426082	426136	9.18	
tgt_yajC	22	Codirectional+	427265	427286	9.21	
yajC_secD	27	Codirectional+	427620	427646	9.21	
secD_secF	10	Codirectional+	429495	429504	9.25	
secF_yajD	128	Codirectional+	430477	430604	9.27	
yajD_tsx	176	Convergent	430953	431128	9.28	
tsx_yajI	298	Codirectional-	432014	432311	9.31	
yajI_nrdR	150	Divergent	432852	433001	9.33	
nrdR_ribD	3	Codirectional+	433452	433454	9.34	
ribD_ribE	88	Codirectional+	434559	434646	9.36	
ribE_nusB	19	Codirectional+	435118	435136	9.37	
nusB_thiL	77	Codirectional+	435557	435633	9.38	
thiL_yajO	549	Convergent	436612	437160	9.41	
yajO_dxs	179	Codirectional-	438136	438314	9.44	
dxs_ispA	24	Codirectional-	440178	440201	9.48	
ispA_thiI	447	Divergent	441102	441548	9.50	
thiI_yajL	53	Convergent	442998	443050	9.54	
yajL_yajQ	1041	Divergent	443642	444682	9.56	
yajQ_yajR	127	Convergent	445175	445301	9.59	
yajR_cyoE	148	Codirectional-	446667	446814	9.62	
cyoE_cyoD	11	Codirectional-	447706	447716	9.65	
cyoD_cyoB	603	Codirectional-	448047	448649	9.65	
cyoB_cyoA	21	Codirectional-	450642	450662	9.71	
cyoA_ampG	459	Codirectional-	451611	452069	9.73	
ampG_yajG	43	Codirectional-	453546	453588	9.77	
yajG_bolA	304	Divergent	454168	454471	9.78	
bolA_tig	343	Codirectional+	454790	455132	9.80	
tig_clpP	245	Codirectional+	456432	456676	9.83	
clpP_clpX	125	Codirectional+	457301	457425	9.85	
clpX_lon	187	Codirectional+	458701	458887	9.88	
lon_hupB	208	Codirectional+	461243	461450	9.94	
hupB_ppiD	191	Codirectional+	461724	461914	9.95	
ppiD_ybaV	150	Codirectional+	463787	463936	9.99	
ybaV_fadM	93	Codirectional+	464309	464401	10.00	
fadM_queC	51	Convergent	464801	464851	10.01	
queC_ybaE	64	Codirectional-	465548	465611	10.03	
ybaE_cof	99	Divergent	467313	467411	10.07	
cof_ybaO	152	Codirectional+	468231	468382	10.09	
ybaO_mdlA	29	Codirectional+	468842	468870	10.10	
mdlA_glnK	1954	Codirectional+	470644	472597	10.14	
glnK_amtB	29	Codirectional+	472937	472965	10.19	
amtB_tesB	48	Convergent	474253	474300	10.22	
tesB_ybaY	217	Divergent	475162	475378	10.24	
ybaY_ybaZ	30	Convergent	475952	475981	10.25	
ybaZ_ffs	76	Divergent	476372	476447	10.26	
ffs_ybaA	110	Codirectional+	476562	476671	10.27	
ybaA_ylaB	41	Convergent	477026	477066	10.28	
ylaB_ylaC	163	Codirectional-	478618	478780	10.31	
ylaC_maa	115	Codirectional-	479252	479366	10.33	
maa_hha	171	Codirectional-	479919	480089	10.34	
hha_tomB	25	Codirectional-	480309	480333	10.35	
tomB_acrB	545	Codirectional-	480709	481253	10.36	
acrB_acrA	22	Codirectional-	484404	484425	10.44	
acrA_acrR	141	Divergent	485620	485760	10.46	
acrR_mscK	127	Codirectional+	486409	486535	10.48	
mscK_ybaM	211	Convergent	489899	490109	10.55	
ybaM_priC	13	Codirectional-	490272	490284	10.56	
priC_ybaN	69	Divergent	490813	490881	10.57	
ybaN_apt	152	Codirectional+	491260	491411	10.58	
apt_dnaX	128	Codirectional+	491964	492091	10.60	
dnaX_ybaB	52	Codirectional+	494024	494075	10.64	
ybaB_htpG	714	Codirectional+	494406	495119	10.65	
htpG_adk	180	Codirectional+	496995	497174	10.71	
adk_hemH	235	Codirectional+	497820	498054	10.73	
hemH_gsk	1107	Codirectional+	499018	500124	10.75	
gsk_ybaL	132	Convergent	501430	501561	10.80	
ybaL_fsr	237	Codirectional-	503239	503475	10.84	
fsr_ushA	217	Divergent	504697	504913	10.87	
ushA_ybaK	36	Convergent	506567	506602	10.91	
ybaK_chiX	121	Divergent	507083	507203	10.92	
chiX_ybaQ	930	Codirectional+	507288	508217	10.93	
ybaQ_copA	315	Convergent	508560	508874	10.96	
copA_glsA	261	Divergent	511380	511640	11.02	
glsA_ybaT	2	Codirectional+	512574	512575	11.04	
ybaT_cueR	124	Codirectional+	513869	513992	11.07	
cueR_ybbJ	0	Convergent	NULL	NULL	11.08	
ybbJ_fetA	1059	Divergent	514860	515918	11.09	
fetA_ybbN	828	Convergent	516597	517424	11.13	
ybbN_ybbO	60	Codirectional-	518280	518339	11.17	
ybbO_ybbA	583	Divergent	519150	519732	11.18	
ybbA_rhsD	2841	Codirectional+	520420	523260	11.21	
rhsD_ybbC	39	Codirectional+	527542	527580	11.37	
ybbC_rhsH'	2	Codirectional+	527950	527951	11.37	
rhsH'_ylbI'	840	Codirectional+	528660	529499	11.39	
ylbI'_ylbG'	2	Convergent	529593	529594	11.41	
ylbG'_mnmH	115	Codirectional-	530017	530131	11.42	
mnmH_allS	68	Codirectional-	531227	531294	11.44	
allS_allA	229	Divergent	532222	532450	11.47	
allA_allR	77	Codirectional+	532934	533010	11.48	
allR_gcl	89	Codirectional+	533827	533915	11.50	
gcl_hyi	12	Codirectional+	535698	535709	11.54	
hyi_glxR	99	Codirectional+	536487	536585	11.56	
glxR_ybbW	168	Codirectional+	537465	537632	11.58	
ybbW_allB	59	Codirectional+	539088	539146	11.61	
allB_ybbY	56	Codirectional+	540509	540564	11.64	
ybbY_glxK	21	Codirectional+	541867	541887	11.67	
glxK_allE	227	Convergent	543034	543260	11.70	
allE_allC	10	Codirectional-	544047	544056	11.72	
allC_allD	21	Codirectional-	545293	545313	11.75	
allD_fdrA	316	Divergent	546364	546679	11.77	
fdrA_ylbE	9	Codirectional+	548348	548356	11.81	
ylbE_ylbF	10	Codirectional+	549617	549626	11.84	
ylbF_purK	1084	Convergent	550443	551526	11.86	
purK_lpxH	623	Codirectional-	552595	553217	11.91	
lpxH_ppiB	2	Codirectional-	553941	553942	11.93	
ppiB_cysS	173	Divergent	554438	554610	11.94	
cysS_ybcI	35	Convergent	555997	556031	11.98	
ybcI_ybcJ	107	Codirectional-	556554	556660	11.99	
ybcJ_folD	1	Codirectional-	556874	556874	12.00	
folD_sfmA	470	Divergent	557742	558211	12.02	
sfmA_sfmC	219	Codirectional+	558755	558973	12.04	
sfmC_sfmD	30	Codirectional+	559667	559696	12.06	
sfmD_sfmH	35	Codirectional+	562301	562335	12.11	
sfmH_sfmF	10	Codirectional+	563320	563329	12.14	
sfmF_sfmZ	2	Convergent	563846	563847	12.15	
sfmZ_argU	242	Divergent	564481	564722	12.16	
argU_intD	15	Convergent	564800	564814	12.17	
intD_exoD'	119	Codirectional-	565979	566097	12.19	
exoD'_renD'	307	Divergent	566377	566683	12.20	
renD'_insE3	65	Codirectional+	566777	566841	12.21	
insE3_renD'	893	Codirectional+	567142	568034	12.22	
renD'_emrE	67	Codirectional+	568248	568314	12.24	
emrE_ybcK	254	Codirectional+	568648	568901	12.25	
ybcK_ybcL	464	Codirectional+	570429	570892	12.29	
ybcL_ybcM	9	Codirectional+	571445	571453	12.31	
ybcM_ylcH	116	Codirectional+	572252	572367	12.33	
ylcH_ninE	451	Codirectional+	572470	572920	12.33	
ninE_rusA	279	Codirectional+	573092	573370	12.35	
rusA_quuD	222	Codirectional+	573734	573955	12.36	
quuD_nmpC'	189	Convergent	574340	574528	12.37	
nmpC'_insH1	150	Codirectional-	574587	574736	12.38	
