Symbol,EcoCyc Locus,Coverage,Type,Position
tomB,EG12429,17,intergenic,480057
yhhQ,EG12217,17,genic,3607272
xapR,EG11146,17,intergenic,2520582
ynfK,EG13849,17,genic,1665055
thiL,EG20227,17,genic,434772
ccmB,EG12058,17,genic,2295447
dld,EG10231,17,genic,2220000
nusB,EG10666,17,genic,434772
ispD,EG13110,17,genic,2870329
sibE,EG31169,17,genic,3193156
bglX,EG12013,17,genic,2220000
yjeM,EG12475,17,genic,4382020
aroE,EG10077,16,genic,3428782
rcsA,EG10820,16,genic,2021516
cdaR,EG12335,16,intergenic,182460
yejG,EG12042,16,intergenic,2276521
mobA,EG11829,15,genic,4040022
yidQ,EG11712,15,intergenic,3865732
pldA,EG10738,15,intergenic,4002822
hofC,EG11798,15,genic,115403
yniB,EG13987,15,intergenic,1807319
yafN,EG13151,15,genic,252250
yihD,EG11830,15,genic,4040022
yigI,EG11467,15,intergenic,4002822
yfgF,EG14202,15,intergenic,2627183
ibpA,EG11534,15,intergenic,3865732
ybcK,EG13627,15,genic,568510
yfgG,EG14203,15,intergenic,2627183
ompR,EG10672,14,intergenic,3534783
tolB,EG11008,14,intergenic,776947
yjcO,EG11951,14,intergenic,4295188
greB,EG11578,14,intergenic,3534783
prfC,EG12114,14,intergenic,4607430
hemB,EG10428,14,intergenic,389220
xdhA,EG13049,14,genic,2998495
ynaE,EG13373,14,genic,1432100
ddpC,EG13788,14,genic,1558192
pabC,EG11493,14,genic,1152528
ynfD,EG13842,14,intergenic,1655954
lysU,EG10553,14,intergenic,4352830
ynfE,EG13843,14,intergenic,1655954
cmtB,EG11791,14,genic,3076950
pinR,EG13372,14,genic,1432100
ycdT,EG13866,13,intergenic,1091687
fhuF,EG12595,13,intergenic,4603734
selC,EG30092,13,intergenic,3834440
ytfB,EG12502,13,intergenic,4426848
dcm,EG10211,13,genic,2030126
shiA,EG20205,13,intergenic,2051573
rutB,EG13858,13,genic,1072013
fklB,EG12503,13,intergenic,4426848
yciZ,EG14460,13,genic,1342787
cspH,EG14281,13,intergenic,1049989
ubiA,EG11370,13,genic,4251048
dsbA,EG11297,13,genic,4041198
lysP,EG11337,13,intergenic,2246567
wecH,EG12274,13,intergenic,3723820
tnaA,EG11005,13,intergenic,3886614
prmB,EG12449,12,genic,2446007
ybdR,EG13537,12,genic,641070
ompT,EG10673,12,intergenic,585188
ygjI,EG12720,12,genic,3224620
waaF,EG12210,12,genic,3793355
ccmH,EG12052,12,genic,2290546
yfaE,EG12360,12,intergenic,2346830
mglA,EG10592,12,genic,2236829
uspG,EG12683,12,genic,641070
ymjA,EG14295,12,intergenic,1355745
emrY,EG13283,12,genic,2480481
cobU,EG13238,12,intergenic,2063919
cobT,EG12151,12,genic,2062725
lysR,EG10551,12,intergenic,2977001
yghS,EG13003,11,genic,3131928
yajO,EG13611,11,genic,437206
yccM,EG13234,11,genic,1052447
cbrB,EG11726,11,genic,3895683
yghT,EG13004,11,genic,3131928
yfgH,EG14204,11,intergenic,2627705
cbrC,EG11727,11,genic,3895683
yfhL,EG13215,11,genic,2697790
ygaZ,EG13528,11,genic,2807729
ydhZ,EG13960,11,genic,1753164
ydiV,EG13981,11,intergenic,1790118
shoB,EG14494,11,genic,2697790
cfa,EG11531,11,intergenic,1739224
znuA,EG12678,11,genic,1940111
gltB,EG10403,11,genic,3352237
mcrB,EG10574,11,genic,4577102
ompN,EG13375,11,intergenic,1435067
livH,EG10538,11,genic,3593996
ivy,EG13547,11,intergenic,240285
yohO,EG14426,11,genic,2213699
yqeB,EG13058,11,genic,3011892
intD,EG10507,11,genic,564865
ompA,EG10669,11,intergenic,1019394
micC,EG31144,11,intergenic,1435067
ileY,EG31121,11,intergenic,2783527
gatA,EG12414,11,genic,2173086
mdtG,EG11343,11,intergenic,1114747
yjeJ,EG12472,10,intergenic,4372455
glxK,EG13621,10,genic,540842
nudC,EG11702,10,genic,4194993
yecE,EG12379,10,genic,1949230
asnT,EG30020,10,genic,2042088
ydfG,EG12345,10,intergenic,1625433
mdtE,EG12240,10,genic,3657420
ydfK,EG13823,10,genic,1631207
gspG,EG12886,10,genic,3459092
cheA,EG10146,10,genic,1973322
nadD,EG13241,10,genic,669994
argU,EG30014,10,genic,563569
mtfA,EG13377,10,genic,2042088
yecD,EG12378,10,genic,1949230
torA,EG11814,10,genic,1058250
yfjI,EG13195,10,genic,2757200
ycaN,EG13698,10,genic,949219
ytfK,EG12511,10,intergenic,4437437
pstC,EG10784,10,intergenic,3908442
ytfJ,EG12510,10,intergenic,4437437
yraH,EG12773,10,genic,3285451
pinQ,EG13824,10,genic,1631207
phoH,EG11734,10,genic,1083782
yhiJ,EG12225,10,genic,3631010
ygeX,EG13054,10,intergenic,3005518
ycaK,EG12702,10,genic,949219
dcp,EG10212,10,intergenic,1625433
kduI,EG13096,10,intergenic,2982213
csiE,EG13418,10,intergenic,2663446
rsd,EG11738,10,genic,4194993
ynfF,EG13844,10,genic,1658507
dapB,EG10206,9,intergenic,28271
ligB,EG11334,9,intergenic,3819403
ydeQ,EG13799,9,genic,1585575
malI,EG10557,9,genic,1696785
elfA,EG13709,9,genic,996735
ykgL,EG14325,9,intergenic,310982
yaiZ,EG14280,9,intergenic,399047
lpxH,EG12666,9,genic,553207
lepA,EG10529,9,intergenic,2705148
dhaR,EG13902,9,intergenic,1250273
yjgN,EG12533,9,intergenic,4477725
yeeD,EG11894,9,genic,2081980
dhaK,EG13901,9,intergenic,1250273
yjgM,EG12532,9,intergenic,4477725
nrfF,EG11949,9,genic,4291501
polA,EG10746,9,genic,4045422
ygjH,EG12719,9,intergenic,3218900
pyrB,EG10805,9,genic,4470406
gabD,EG11329,9,genic,2789145
rimP,EG11179,9,intergenic,3316137
yhjD,EG12248,9,intergenic,3671341
rnlB,EG13201,9,genic,2765044
yjfZ,EG12500,9,genic,4425174
yiaD,EG12271,9,genic,3714109
osmB,EG10679,9,intergenic,1341497
yieP,EG11733,9,intergenic,3939358
gmk,EG10965,9,intergenic,3819403
nrfG,EG11950,9,genic,4291501
bisC,EG10124,9,genic,3714109
nfrB,EG11739,9,intergenic,592436
eutS,EG14192,9,intergenic,2574048
gudX,EG13168,9,genic,2918921
mscL,EG11180,9,genic,3435914
ssuE,EG13708,9,genic,996735
yhbU,EG12790,8,intergenic,3299408
araF,EG10057,8,intergenic,1984301
dcyD,EG14038,8,genic,1997503
yhcD,EG12810,8,genic,3360693
ybfC,EG11523,8,genic,734790
yghG,EG12991,8,genic,3111175
ygdH,EG12373,8,intergenic,2924316
yehE,EG11991,8,genic,2190798
ygdB,EG11155,8,genic,2960910
ygcP,EG13123,8,genic,2892223
yfeS,EG14160,8,genic,2535364
amn,EG10039,8,genic,2052663
ygcO,EG13122,8,genic,2892223
ahpC,EG11384,8,intergenic,638094
ychA,EG11251,8,genic,1266990
yobB,EG14030,8,intergenic,1923371
ynjH,EG14010,8,intergenic,1840378
amiB,EG11363,8,genic,4393805
ydfI,EG13821,8,intergenic,1628970
yfdV,EG14144,8,genic,2488483
yfeK,EG12644,8,genic,2535364
yijO,EG11913,8,genic,4146618
yhbT,EG12789,8,intergenic,3299408
iaaA,EG12407,8,intergenic,865708
pdxK,EG12642,8,genic,2535364
yafQ,EG13154,8,genic,246165
waaG,EG11339,8,genic,3804672
gdhA,EG10372,8,intergenic,1840378
uspA,EG11390,8,genic,3638265
rep,EG10837,8,genic,3958339
phoB,EG10728,8,intergenic,416261
rfaH,EG10839,8,genic,4022424
rfbB,EG12412,8,genic,2110788
dsbG,EG13535,8,intergenic,638094
oppA,EG10674,8,intergenic,1299035
rlmF,EG13319,8,intergenic,841396
moeA,EG10153,8,intergenic,865708
metR,EG10591,8,intergenic,4011044
pstS,EG10734,8,intergenic,3909600
yafK,EG13148,8,genic,246165
kdsA,EG10518,8,genic,1266990
hfq,EG10438,8,intergenic,4398299
dinJ,EG13142,8,genic,246165
secG,EG12095,8,genic,3320495
holE,EG11505,8,intergenic,1923371
mcbA,EG13318,8,intergenic,841396
lepB,EG10530,8,genic,2703452
ppdC,EG11154,8,genic,2960910
leuU,EG30050,8,genic,3320495
hemH,EG10431,8,intergenic,497184
sbcD,EG11094,8,intergenic,416261
ygcE,EG13033,7,genic,2900384
rplU,EG50001,7,intergenic,3331537
rhtA,EG12134,7,intergenic,849592
rpoZ,EG10899,7,genic,3819941
fepE,EG10297,7,genic,617863
sibA,EG31151,7,genic,2151149
caiF,EG13451,7,intergenic,34144
fdoG,EG11858,7,genic,4084102
srlR,EG10974,7,genic,2827224
fdhD,EG11859,7,genic,4084102
rsmF,EG14023,7,genic,1917908
ybcV,EG13638,7,intergenic,578331
pphB,EG13102,7,intergenic,2857694
yhbX,EG12793,7,genic,3319278
aceB,EG10023,7,genic,4213939
yqeK,EG13274,7,genic,2988825
ackA,EG10027,7,intergenic,2411322
ispB,EG10017,7,intergenic,3331537
kbaY,EG12768,7,intergenic,3281163
alaC,EG14198,7,genic,2495827
map,EG10570,7,intergenic,189516
mcrC,EG10575,7,genic,4576360
ykgH,EG13585,7,genic,324123
hcaR,EG13455,7,genic,2666608
yiiF,EG11855,7,intergenic,4078177
glpK,EG10398,7,genic,4114935
yejB,EG12038,7,genic,2271917
yhhZ,EG12946,7,genic,3580268
blc,EG12474,7,genic,4375506
borD,EG13637,7,intergenic,578331
yfbV,EG14106,7,intergenic,2411322
ygeG,EG13037,7,genic,2988825
ybeT,EG13650,7,genic,678868
cmtA,EG11792,7,genic,3076545
yadC,EG11678,7,genic,151034
yaeF,EG12138,7,genic,216637
torI,EG14411,7,genic,2474444
ydiM,EG13972,7,genic,1768973
ybeU,EG13651,7,genic,678868
eamA,EG11639,7,genic,1619642
tff,EG31135,7,intergenic,189516
yegL,EG14055,7,genic,2151149
ydiL,EG13971,7,genic,1768973
yafV,EG13334,7,genic,240512
yegR,EG14061,7,intergenic,2165875
uspC,EG12862,7,intergenic,1977595
ydeE,EG11640,7,genic,1619642
yadM,EG12327,7,genic,153063
ydgH,EG13929,7,intergenic,1676245
eptA,EG11613,7,genic,4333408
ydiP,EG13975,7,genic,1776875
yhdV,EG12833,6,intergenic,3416313
pitB,EG12883,6,intergenic,3134607
oppC,EG10676,6,genic,1301698
bssS,EG14335,6,intergenic,1120373
ycgB,EG11516,6,intergenic,1236708
uxaC,EG12737,6,genic,3242757
ppiB,EG10758,6,intergenic,553745
ykgE,EG13582,6,intergenic,320659
ampD,EG10041,6,intergenic,118719
pgaA,EG13865,6,genic,1091289
cycA,EG12504,6,intergenic,4427745
ycgV,EG13903,6,intergenic,1255542
osmY,EG11391,6,intergenic,4609084
ygiN,EG12657,6,genic,3171068
bfr,EG10113,6,genic,3464917
araE,EG10056,6,intergenic,2980321
gspO,EG11359,6,genic,3463494
yjcB,EG11937,6,intergenic,4272777
gspM,EG12173,6,genic,3463494
narX,EG10646,6,intergenic,1276880
aroF,EG10078,6,genic,2739522
yiiE,EG11854,6,intergenic,4077572
narK,EG10642,6,intergenic,1276880
yneK,EG13819,6,intergenic,1613777
lrp,EG10547,6,intergenic,931457
ygaP,EG13288,6,genic,2795554
katG,EG10511,6,intergenic,4131761
yejM,EG12049,6,genic,2282780
exuT,EG12738,6,genic,3242757
icd,EG10489,6,genic,1194145
insK,EG40011,6,genic,3719375
tnaB,EG11006,6,genic,3888295
sdaA,EG10930,6,genic,1894717
yfiL,EG12446,6,genic,2739522
trxB,EG11032,6,intergenic,931457
ptrA,EG10786,6,genic,2956813
ygaV,EG13524,6,genic,2795554
yebQ,EG14019,6,intergenic,1908288
nanK,EG12815,6,genic,3368556
rluE,EG13447,6,genic,1194145
kdgR,EG14018,6,intergenic,1908288
nadC,EG11546,6,intergenic,118719
ybhM,EG13669,6,intergenic,819889
dadA,EG11407,6,intergenic,1236708
dinI,EG12670,6,intergenic,1120373
cysS,EG10196,6,genic,554225
ynaK,EG14296,5,genic,1423084
ytfP,EG12516,5,intergenic,4446394
hemN,EG11836,5,genic,4050255
cysJ,EG10191,5,intergenic,2890031
htpX,EG10462,5,intergenic,1910606
yrhB,EG12948,5,intergenic,3582597
yajD,EG11097,5,genic,429859
ynfG,EG13845,5,genic,1661017
yjhI,EG12551,5,genic,4524152
acrE,EG10266,5,intergenic,3411782
dkgA,EG13015,5,genic,3154651
htpG,EG10461,5,genic,494217
yaiS,EG13302,5,intergenic,384219
yahA,EG11236,5,intergenic,331513
yneM,EG14395,5,intergenic,1620633
ybbC,EG11769,5,intergenic,526792
gadX,EG12243,5,intergenic,3664079
fliC,EG10321,5,intergenic,2001880
ygcS,EG13126,5,intergenic,2895917
ydiO,EG13974,5,genic,1775121
ygdR,EG13076,5,intergenic,2969272
fliD,EG10841,5,intergenic,2001880
queF,EG13173,5,genic,2923813
queD,EG13120,5,intergenic,2890031
nlpE,EG12137,5,genic,215255
ygiF,EG11603,5,genic,3198983
ugd,EG13407,5,intergenic,2097773
ygiM,EG12434,5,genic,3198983
ydiB,EG11234,5,genic,1771794
yhaI,EG12748,5,genic,3250972
chpS,EG11250,5,intergenic,4446394
elfG,EG13712,5,genic,1000893
yhfZ,EG12921,5,genic,3510020
ydcY,EG13768,5,genic,1515724
yfcP,EG14119,5,genic,2448216
ydcX,EG13767,5,genic,1515724
yfcO,EG14118,5,genic,2448216
yigL,EG11470,5,genic,4008228
sucA,EG10979,5,genic,757455
wzzE,EG11295,5,genic,3967355
tauA,EG13300,5,intergenic,384219
asnV,EG30022,5,intergenic,2060104
yeeZ,EG13393,4,intergenic,2087207
evgA,EG11609,4,intergenic,2481403
yoeB,EG14356,4,intergenic,2087207
ilvN,EG10502,4,genic,3848919
ybhD,EG13230,4,genic,799454
cho,EG13993,4,intergenic,1821327
entD,EG10262,4,genic,608803
yihL,EG11838,4,intergenic,4058415
ybhH,EG13664,4,intergenic,799955
uhpA,EG11051,4,genic,3848919
yggP,EG12976,4,genic,3075011
ycaC,EG11241,4,intergenic,944966
hchA,EG11755,4,intergenic,2033564
yagU,EG13560,4,intergenic,302112
emrK,EG13282,4,intergenic,2481403
glcA,EG12995,4,genic,3119692
ycgX,EG14244,4,genic,1212182
mglB,EG10593,4,intergenic,2238376
ansP,EG13776,4,genic,1523699
gor,EG10412,4,genic,3644608
yeiH,EG12027,3,intergenic,2247715
